micro_ciclo;Driver;Speed_mean;Speed_max;Acel_pos_mean;Acel_pos_max;Acel_neg_mean;Acel_neg_max;Duration;Distance;time_ralenti;time_mov;Pend160_pos_max;Pend160_neg_mean;Pend160_neg_max;time_Pend160_pos;time_Pend160_neg;Pend200_pos_mean;Pend200_pos_max;Pend200_neg_mean;Pend200_neg_max;time_Pend200_pos;time_Pend200_neg;Social_stratum;Driver_age;PC1;PC2;PC3;PC4;Cluster
778;13;20.63614312;40.26359161;0.718887475;1.651792152;-0.346308637;-1.0490338;54;315.2744087;14.81481481;87.03703704;0;-0.012645996;-0.029455744;0;101.8518519;0;0;-0.018699471;-0.034305811;0;101.8518519;2;31;1.064307615;-1.569262012;1.336308038;-0.082487084;1
779;13;26.68137679;47.45972308;0.544738981;1.799692502;-0.752578457;-1.519107809;68;511.3930552;5.882352941;95.58823529;0;-0.019305926;-0.028689797;0;101.4705882;0.02603083;0.02603083;-0.020130562;-0.029277133;23.52941176;77.94117647;2;31;2.614699827;-0.850998251;1.35743552;0.554852561;2
780;13;5.770500999;36.57983497;0.941498464;1.487493784;-0.229853863;-2.182212704;55;89.76334887;72.72727273;29.09090909;0.00468916;-0.028689797;-0.028689797;83.63636364;18.18181818;0.02603083;0.02603083;0;0;101.8181818;0;2;31;0.046969826;1.250520576;2.137549953;0.859792305;3
781;13;3.935542964;23.87915245;0.377956477;0.759522533;-0.10593767;-1.391912587;81;89.64292308;74.07407407;27.16049383;0.00468916;0;0;101.2345679;0;0.02603083;0.02603083;-0.036359961;-0.036359961;9.87654321;91.35802469;2;31;-2.046992498;-0.850485508;0.195825154;-0.55701594;1
782;13;22.88758119;45.50911049;0.745595617;1.260479409;-0.976289014;-1.753224942;29;190.7298432;10.34482759;93.10344828;0.00468916;-0.023672504;-0.023672504;34.48275862;68.96551724;0;0;-0.022850214;-0.036359961;0;103.4482759;2;31;2.548945312;-1.788941659;2.292474886;0.848493608;2
783;13;9.922402196;31.87405594;0.706861074;1.831052642;-0.211269378;-1.021439977;134;372.0900824;47.76119403;52.98507463;0.064975032;-0.014053581;-0.023672504;74.62686567;26.11940299;0.048405855;0.048405855;-0.005596216;-0.007937811;52.98507463;47.76119403;2;31;-0.003707387;0.375576742;0.898260048;0.202852988;3
784;13;36.26726437;62.25332308;0.42293329;1.521765152;-0.47150068;-0.935907537;88;896.6073691;4.545454545;96.59090909;0.064975032;-0.015232428;-0.025691168;35.22727273;65.90909091;0.02449158;0.048405855;-0.015245121;-0.028171624;40.90909091;60.22727273;2;31;2.219762018;-0.220353548;0.248594593;-0.184156441;2
785;13;33.47329334;61.35127552;0.424227054;1.135738151;-0.35529176;-1.543353341;280;2612.776508;18.21428571;82.14285714;0.022078258;-0.00669177;-0.010135162;71.07142857;29.28571429;0.0074512;0.021860824;-0.00744137;-0.007871593;75.71428571;24.64285714;2;31;2.360626556;0.537595794;-0.359940144;-1.118547358;2
786;13;6.412552259;39.06283636;1.006894858;1.726122183;-0.174846311;-1.306186092;73;131.8135742;73.97260274;27.39726027;0.001139778;-1.07E-16;-1.07E-16;23.28767123;78.08219178;2.66E-06;2.66E-06;0;0;101.369863;0;2;31;-0.38429812;1.033107054;2.157260286;0.518842488;3
787;13;9.17397843;43.82499021;0.879144255;2.28014763;-0.190369495;-0.833603341;89;229.3494608;58.42696629;42.69662921;0.00750421;-1.07E-16;-1.07E-16;80.8988764;20.2247191;2.66E-06;2.66E-06;-4.24E-05;-4.24E-05;6.741573034;94.38202247;2;31;-0.059622072;-1.251457548;1.962526121;-0.233844592;1
